,MODEL.BACKBONE.NAME,DATASET.ROI,score,defrost_score
1769,2d_moby_swin_warp_3d,S-htROI4,0.10182830691337585,0.051000000000000004
1770,2d_moby_swin_warp_3d,S-htROI2,0.4192213714122772,0.21
1771,2d_moby_swin_warp_3d,S-htROI5,0.20849257707595825,0.105
1772,2d_moby_swin_warp_3d,S-htROI6,0.1909373551607132,0.096
1773,2d_moby_swin_warp_3d,S-htROI1,0.4202801287174225,0.21
1774,2d_moby_swin_warp_3d,S-htROI7,0.2440137267112732,0.123
1775,2d_moby_swin_warp_3d,S-htROI3,0.030276570469141006,0.015
1776,3d_swin,V3,0.261740118265152,0.132
1777,3d_swin,STS,0.17403294146060944,0.08700000000000001
1778,3d_swin,EBA,0.3525945842266083,0.177
1779,3d_swin,V2,0.28192436695098877,0.14100000000000001
1780,3d_swin,V4,0.232280433177948,0.117
1781,3d_swin,V1,0.29357272386550903,0.147
1782,3d_swin,LOC,0.31786736845970154,0.159
1783,3d_swin,REST,0.10914337635040283,0.054
1784,3d_swin,PPA,0.21519380807876587,0.108
1785,3d_swin,FFA,0.2636483907699585,0.132
1786,audio_vggish,REST,0.04615942761301994,0.024
1787,audio_vggish,V2,0.08599772304296494,0.042
1788,audio_vggish,LOC,0.16911976039409637,0.084
1789,audio_vggish,V4,0.08086107671260834,0.039
1790,audio_vggish,V3,0.072727732360363,0.036000000000000004
1791,audio_vggish,PPA,0.13438111543655396,0.066
1792,audio_vggish,FFA,0.1490423083305359,0.075
1793,audio_vggish,STS,0.10839308798313141,0.054
1794,audio_vggish,EBA,0.19728487730026245,0.099
1795,audio_vggish,V1,0.10437769442796707,0.051000000000000004
1796,2d_simclr_warp_3d,REST,0.10858757793903351,0.054
1797,2d_simclr_warp_3d,LOC,0.3130684196949005,0.156
1798,2d_simclr_warp_3d,V4,0.24446438252925873,0.123
1799,2d_simclr_warp_3d,V3,0.27536529302597046,0.138
1800,2d_simclr_warp_3d,STS,0.16831856966018677,0.084
1801,2d_simclr_warp_3d,V2,0.2966292202472687,0.147
1802,2d_simclr_warp_3d,V1,0.30334436893463135,0.153
1803,2d_simclr_warp_3d,EBA,0.33859166502952576,0.168
1804,2d_simclr_warp_3d,FFA,0.2674084007740021,0.135
1805,2d_simclr_warp_3d,PPA,0.21643735468387604,0.108
1816,2d_simclr_warp_3d,S-htROI8,0.31578660011291504,0.159
1817,2d_simclr_warp_3d,S-htROI2,0.420838862657547,0.21
1818,2d_simclr_warp_3d,S-htROI6,0.19347000122070312,0.096
1819,2d_simclr_warp_3d,S-htROI5,0.2009643018245697,0.099
1820,2d_simclr_warp_3d,S-htROI7,0.2452130913734436,0.123
1821,2d_simclr_warp_3d,S-htROI3,0.027735034003853798,0.015
1822,2d_simclr_warp_3d,S-htROI1,0.4130220413208008,0.20700000000000002
1823,2d_simclr_warp_3d,S-htROI4,0.1025826707482338,0.051000000000000004
2098,i3d_flow,EBA,0.36502575874328613,0.183
2099,i3d_flow,V2,0.2435232400894165,0.123
2100,i3d_flow,V1,0.22895123064517975,0.114
2101,i3d_flow,V4,0.2259293496608734,0.114
2102,i3d_flow,FFA,0.26232290267944336,0.132
2103,i3d_flow,PPA,0.15007524192333221,0.075
2104,i3d_flow,V3,0.24323229491710663,0.123
2105,i3d_flow,REST,0.09432803094387054,0.048
2106,i3d_flow,STS,0.1797797530889511,0.09
2107,i3d_flow,LOC,0.3037661015987396,0.153
2528,2d_seg_swin_warp_3d,S-htROI3,0.025024864822626114,0.012
2529,2d_seg_swin_warp_3d,S-htROI8,0.2747528851032257,0.138
2530,2d_seg_swin_warp_3d,S-htROI5,0.14792917668819427,0.075
2531,2d_seg_swin_warp_3d,S-htROI7,0.2190168797969818,0.111
2532,2d_seg_swin_warp_3d,S-htROI1,0.4071671664714813,0.20400000000000001
2533,2d_seg_swin_warp_3d,S-htROI4,0.09418395161628723,0.048
2534,2d_seg_swin_warp_3d,S-htROI2,0.38214030861854553,0.192
2535,2d_seg_swin_warp_3d,S-htROI6,0.15968665480613708,0.081
2544,2d_pyconvsegnet_warp_3d,S-htROI8,0.3090443015098572,0.156
2545,2d_pyconvsegnet_warp_3d,S-htROI6,0.17606337368488312,0.08700000000000001
2546,2d_pyconvsegnet_warp_3d,S-htROI7,0.2192653864622116,0.111
2547,2d_pyconvsegnet_warp_3d,S-htROI1,0.41631731390953064,0.20700000000000002
2548,2d_pyconvsegnet_warp_3d,S-htROI2,0.405664324760437,0.20400000000000001
2549,2d_pyconvsegnet_warp_3d,S-htROI3,0.022602315992116928,0.012
2550,2d_pyconvsegnet_warp_3d,S-htROI4,0.08629417419433594,0.042
2551,2d_pyconvsegnet_warp_3d,S-htROI5,0.19203248620033264,0.096
2552,i3d_rgb,i3d_rgb_htROI1,0.27834123373031616,0.138
2553,i3d_rgb,i3d_rgb_htROI3,0.1443060040473938,0.07200000000000001
2554,i3d_rgb,i3d_rgb_htROI4,0.025288565084338188,0.012
2555,i3d_rgb,i3d_rgb_htROI6,0.33716076612472534,0.168
2556,i3d_rgb,i3d_rgb_htROI2,0.2549242675304413,0.126
2557,i3d_rgb,i3d_rgb_htROI5,0.3363911509513855,0.168
2558,3d_swin,S-htROI6,0.1768973171710968,0.08700000000000001
2559,3d_swin,S-htROI3,0.031097574159502983,0.015
2560,3d_swin,S-htROI5,0.20497308671474457,0.10200000000000001
2561,3d_swin,S-htROI2,0.43304723501205444,0.216
2562,3d_swin,S-htROI4,0.1039363294839859,0.051000000000000004
2563,3d_swin,S-htROI7,0.24597063660621643,0.123
2564,3d_swin,S-htROI1,0.40141478180885315,0.201
2565,3d_swin,S-htROI8,0.3248840570449829,0.162
2704,2d_pyconvsegnet_warp_3d,V2,0.2973378598690033,0.15
2705,2d_pyconvsegnet_warp_3d,PPA,0.22342249751091003,0.111
2706,2d_pyconvsegnet_warp_3d,V1,0.31147000193595886,0.156
2707,2d_pyconvsegnet_warp_3d,STS,0.1586591601371765,0.078
2708,2d_pyconvsegnet_warp_3d,LOC,0.31001555919647217,0.156
2709,2d_pyconvsegnet_warp_3d,V3,0.28427091240882874,0.14100000000000001
2710,2d_pyconvsegnet_warp_3d,EBA,0.32709410786628723,0.165
2711,2d_pyconvsegnet_warp_3d,V4,0.25547152757644653,0.129
2712,2d_pyconvsegnet_warp_3d,REST,0.10451957583427429,0.051000000000000004
2713,2d_pyconvsegnet_warp_3d,FFA,0.27591779828071594,0.138
2734,audio_vggish,S-htROI3,0.01427807379513979,0.006
2735,audio_vggish,S-htROI2,0.2638174891471863,0.132
2736,audio_vggish,S-htROI1,0.11666088551282883,0.057
2737,audio_vggish,S-htROI7,0.09324707090854645,0.048
2738,audio_vggish,S-htROI8,0.1577395796775818,0.078
2739,audio_vggish,S-htROI4,0.06502559781074524,0.033
2740,audio_vggish,S-htROI5,0.06440819799900055,0.033
2741,audio_vggish,S-htROI6,0.11169107258319855,0.057
2942,i3d_rgb,STS,0.1702490597963333,0.084
2943,i3d_rgb,LOC,0.31113436818122864,0.156
2944,i3d_rgb,REST,0.1062508225440979,0.054
2945,i3d_rgb,V2,0.23914127051830292,0.12
2946,i3d_rgb,V3,0.2314728945493698,0.117
2947,i3d_rgb,EBA,0.3435893654823303,0.171
2948,i3d_rgb,PPA,0.22313815355300903,0.111
2949,i3d_rgb,V1,0.248756542801857,0.123
2950,i3d_rgb,V4,0.20765578746795654,0.105
2951,i3d_rgb,FFA,0.24323952198028564,0.123
2952,i3d_rgb,L-htROI3,0.06606276333332062,0.033
2953,i3d_rgb,M-htROI3,0.02270505391061306,0.012
2954,i3d_rgb,XS-htROI9,0.22805999219417572,0.114
2955,i3d_rgb,XS-htROI4,0.060487233102321625,0.03
2956,i3d_rgb,XS-htROI5,0.15915413200855255,0.081
2957,i3d_rgb,XS-htROI6,0.21183614432811737,0.105
2958,i3d_rgb,XS-htROI8,0.1409902423620224,0.069
2959,i3d_rgb,XS-htROI7,0.20228098332881927,0.10200000000000001
2970,2d_colorizer_warp_3d,LOC,0.19189901649951935,0.096
2971,2d_colorizer_warp_3d,V4,0.1673654168844223,0.084
2972,2d_colorizer_warp_3d,STS,0.1134277954697609,0.057
2973,2d_colorizer_warp_3d,V1,0.25929275155067444,0.129
2974,2d_colorizer_warp_3d,V3,0.207578644156456,0.105
2975,2d_colorizer_warp_3d,REST,0.06316180527210236,0.033
2976,2d_colorizer_warp_3d,EBA,0.2226947844028473,0.111
2977,2d_colorizer_warp_3d,FFA,0.15739625692367554,0.078
2978,2d_colorizer_warp_3d,V2,0.23774652183055878,0.12
2979,2d_colorizer_warp_3d,PPA,0.15964502096176147,0.081
3460,2d_densnet_warp_3d,S-htROI6,0.18064066767692566,0.09
3461,2d_densnet_warp_3d,S-htROI7,0.22449754178524017,0.111
3462,2d_densnet_warp_3d,S-htROI4,0.09227293729782104,0.045
3463,2d_densnet_warp_3d,S-htROI3,0.022995682433247566,0.012
3464,2d_densnet_warp_3d,S-htROI2,0.40195977687835693,0.201
3465,2d_densnet_warp_3d,S-htROI1,0.3809163272380829,0.189
3466,2d_densnet_warp_3d,S-htROI5,0.18467958271503448,0.093
3467,2d_densnet_warp_3d,S-htROI8,0.2811978757381439,0.14100000000000001
3628,2d_pyconvsegnet_warp_3d,2d_pyconvsegnet_warp_3d_htROI2,0.29471421241760254,0.147
3629,2d_pyconvsegnet_warp_3d,2d_pyconvsegnet_warp_3d_htROI1,0.332230806350708,0.165
3630,2d_pyconvsegnet_warp_3d,2d_pyconvsegnet_warp_3d_htROI4,0.07811392098665237,0.039
3631,2d_pyconvsegnet_warp_3d,2d_pyconvsegnet_warp_3d_htROI3,0.40014487504959106,0.201
3800,3d_swin,3d_swin_htROI6,0.31099891662597656,0.156
3801,3d_swin,3d_swin_htROI4,0.2785130739212036,0.138
3802,3d_swin,3d_swin_htROI1,0.3034984767436981,0.153
3803,3d_swin,3d_swin_htROI3,0.03827274218201637,0.018000000000000002
3804,3d_swin,3d_swin_htROI2,0.22926905751228333,0.114
3805,3d_swin,3d_swin_htROI5,0.3268120288848877,0.162
